Site Id,Loc Id,State,Runway Id,Length,Width,Surface Type Condition,Surface Treatment,PCN,Edge Light Intensity,Length Source,Length Source Date,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base End Id,Base True Heading,Base ILS Type,Base Right Hand Traffic Pattern,Base Marking Type,Base Marking Condition,Base Latitude DMS,Base Latitude Seconds,Base Longitude DMS,Base Longitude Seconds,Base Elevation,Base Threshold Height,Base Visual Glide Path Angle,Base Displaced Latitude DMS,Base Displaced Latitude Seconds,Base Displaced Longitude DMS,Base Displaced Longitude Seconds,Base Displaced Elevation,Base Displaced Threshold Length,Base TDZ Elevation,Base VGSI,Base RVR,Base RVV,Base ALS,Base REIL,Base Centerline Lights,Base Touchdown Lights,Base Obstacle,Base Obstacle Marking Lighting,Base Obstacle Part77,Base Obstacle Clearance Slope,Base Obstacle Height Above Runway,Base Obstacle Distance From Runway,Base Obstacle Centerline Offset,Base Gradient,Base Gradient Direction,Base Position Source,Base Position Source Date,Base Elevation Source,Base Elevation Source Date,Base Displaced Position Source,Base Displaced Position Source Date,Base Elevation Position Source,Base Elevation Position Source Date,Base TDZ Elevation Source,Base TDZ Elevation Source Date,Base TORA,Base TODA,Base ASDA,Base LDA,Base LAHSO,Base LAHSO Id,Base LAHSO Desc,Base LAHSO Latitude DMS,Base LAHSO Latitude Seconds,Base LAHSO Longitude DMS,Base LAHSO Longitude Seconds,Base LAHSO Source,Base LAHSO Source Date,Reciprocal End Id,Reciprocal True Heading,Reciprocal ILS Type,Reciprocal Right Hand Traffic Pattern,Reciprocal Marking Type,Reciprocal Marking Condition,Reciprocal Latitude DMS,Reciprocal Latitude Seconds,Reciprocal Longitude DMS,Reciprocal Longitude Seconds,Reciprocal Elevation,Reciprocal Threshold Height,Reciprocal Visual Glide Path Angle,Reciprocal Displaced Latitude DMS,Reciprocal Displaced Latitude Seconds,Reciprocal Displaced Longitude DMS,Reciprocal Displaced Longitude Seconds,Reciprocal Displaced Elevation,Reciprocal Displaced Threshold Length,Reciprocal TDZ Elevation,Reciprocal VGSI,Reciprocal RVR,Reciprocal RVV,Reciprocal ALS,Reciprocal REIL,Reciprocal Centerline Lights,Reciprocal Touchdown Lights,Reciprocal Obstacle,Reciprocal Obstacle Marking Lighting,Reciprocal Obstacle Part77,Reciprocal Obstacle Clearance Slope,Reciprocal Obstacle Height Above Runway,Reciprocal Obstacle Distance From Runway,Reciprocal Obstacle Centerline Offset,Reciprocal Gradient,Reciprocal Gradient Direction,Reciprocal Position Source,Reciprocal Position Source Date,Reciprocal Elevation Source,Reciprocal Elevation Source Date,Reciprocal Displaced Position Source,Reciprocal Displaced Position Source Date,Reciprocal Elevation Position Source,Reciprocal Elevation Position Source Date,Reciprocal TDZ Elevation Source,Reciprocal TDZ Elevation Source Date,Reciprocal TORA,Reciprocal TODA,Reciprocal ASDA,Reciprocal LDA,Reciprocal LAHSO,Reciprocal LAHSO Id,Reciprocal LAHSO Desc,Reciprocal LAHSO Latitude DMS,Reciprocal LAHSO Latitude Seconds,Reciprocal LAHSO Longitude DMS,Reciprocal LAHSO Longitude Seconds,Reciprocal LAHSO Source,Reciprocal LAHSO Source Date
00385.1*A,HSV,AL,18L/36R,10001,150,ASPH-G,GRVD,105/F/B/W/T,HIGH,3RD PARTY SURVEY,2017-03-09,120,250,550,,18L,181,ILS,N,PIR,G,034-39-11.1500N,124751.1545N,086-45-55.6700W,0312355.6731W,609.3,73,3,,,,,,,609.3,P4R,TR,N,MALSR,N,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,10001,10001,9801,9801,,,,,,,,,,36R,1,ILS/DME,Y,PIR,G,034-37-32.2500N,124652.2495N,086-45-57.6600W,0312357.6619W,588.6,72,3,034-37-34.2300N,124654.2301N,086-45-57.6200W,0312357.6222W,589,200,594.9,P4R,TR,N,MALSR,N,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,10001,10001,10001,9801,,,,,,,,,
00385.1*A,HSV,AL,18R/36L,12600,150,ASPH-CONC-G,GRVD,120/F/A/X/T,HIGH,3RD PARTY SURVEY,2017-03-09,120,250,550,,18R,181,ILS,Y,PIR,G,034-39-10.0300N,124750.0278N,086-46-55.5600W,0312415.5617W,628.4,,,,,,,,,628.9,,TMR,N,ALSF2,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,12600,12600,12600,12600,,,,,,,,,,36L,1,ILS/DME,N,PIR,G,034-37-05.4200N,124625.4156N,086-46-58.0500W,0312418.0470W,611.2,,,,,,,,,615.5,,TMR,N,MALSR,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,12600,12600,12600,12600,,,,,,,,,
00437.*A,BFM,AL,18/36,7800,150,ASPH-CONC-F,,34 /R/B/X/T,MED,3RD PARTY SURVEY,2019-06-05,76,150,320,,18,180,,N,NPI,G,030-38-31.1800N,110311.1769N,088-03-57.3000W,0317037.3006W,25.4,64,3,,,,,,,25.5,P4L,,,,,,,POLE,,D,30,33,1200,0B,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,,36,360,,Y,NPI,G,030-37-13.9700N,110233.9737N,088-03-57.2600W,0317037.2556W,25,62,3,,,,,,,26.1,P4L,,,,,,,TREES,,D,20,55,1300,400L,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,
00437.*A,BFM,AL,14/32,9618,150,ASPH-CONC-G,GRVD,72 /F/B/X/T,HIGH,3RD PARTY SURVEY,2019-06-05,75,185,325,,14,139,,Y,PIR,G,030-37-59.0800N,110279.0821N,088-04-47.7800W,0317087.7842W,26.2,68,3,,,,,,,26.2,P4L,R,,,Y,Y,,TREE,,C,34,39,1535,500R,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,,32,319,ILS/DME,N,PIR,G,030-36-47.5100N,110207.5137N,088-03-35.2100W,0317015.2083W,18.6,71,3,,,,,,,25.1,P4L,T,,MALSR,,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,
00511.*A,SEM,AL,15/33,8014,150,ASPH-CONC-F,,,HIGH,3RD PARTY SURVEY,2010-04-22,33,54,,,15,146,,N,PIR,F,032-21-10.9900N,116470.9865N,086-59-42.3300W,0313182.3323W,166.2,50,3,,,,,,,166.2,P4L,,,,,,,TREES,,C,27,34,1146,155L,,,3RD PARTY SURVEY,2010-04-22,3RD PARTY SURVEY,2010-04-22,,,,,3RD PARTY SURVEY,2010-04-22,,,,,,,,,,,,,,33,326,ILS/DME,N,PIR,F,032-20-05.4000N,116405.3963N,086-58-49.8300W,0313129.8328W,165.1,56,3,,,,,,,165.3,P4L,,,MALS,,,,TREES,,PIR,34,70,2631,263R,,,3RD PARTY SURVEY,2010-04-22,3RD PARTY SURVEY,2010-04-22,,,,,3RD PARTY SURVEY,2010-04-22,,,,,,,,,,,,,
00682.*A,FHU,AZ,H1,40,40,ASPH,,,PERI,STATE,2000-06-14,,,,,H1,,,,,,031-35-28.3100N,113728.3100N,110-19-45.2000W,0397185.2000W,4573,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST,2018-10-21,FAA-EST,2018-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00682.*A,FHU,AZ,03/21,4285,75,ASPH-CONC-G,,22 /F/A/W/T,MED,NGS,2000-06-14,,,,,03,37,,,NPI,G,031-35-10.1500N,113710.1480N,110-20-56.2900W,0397256.2906W,4670.5,,,031-35-20.0900N,113720.0878N,110-20-47.6400W,0397247.6401W,4648,1253,4648,,,N,,N,N,N,,,A(V),50,,,,,,NGS,2000-06-14,,,NGS,2000-06-14,NGS,2000-06-14,NGS,2000-06-14,4285,4285,4285,3032,,,,,,,,,,21,217,,Y,NPI,G,031-35-44.1400N,113744.1424N,110-20-26.7000W,0397226.7031W,4585.2,,,,,,,,,4647.4,,,N,,N,N,N,,,A(V),50,,,,,,NGS,2000-06-14,,,,,,,AVN,2011-04-11,4285,4285,4285,4285,,,,,,,,,
00682.*A,FHU,AZ,08/26,12001,150,CONC-E,,54 /R/B/W/T,HIGH,NGS,2000-06-14,75,200,450,700,08,90,,,PIR,G,031-35-15.2300N,113715.2281N,110-22-01.3800W,0397321.3797W,4719.1,50,3,,,,,,,4719.1,P4L,,,,,,,,,C,50,,,,,,,,,,,,,,AVN,2011-04-11,12001,12001,12001,12001,,,,,,,,,,26,270,LOC/GS,Y,PIR,G,031-35-15.4500N,113715.4464N,110-19-42.6800W,0397182.6768W,4599,80,3,,,,,,,4629,P4L,,,,,,,,,PIR,50,,,,,,,,,,,,,,NGS,2000-06-14,12001,12001,12001,12001,,,,,,,,,
00682.*A,FHU,AZ,12/30,5366,100,ASPH-CONC-G,,24 /F/A/W/T,MED,NGS,2000-06-14,46,106,137,172,12,127,,N,NPI,G,031-35-34.3500N,113734.3510N,110-20-35.7700W,0397235.7654W,4611.6,51,3,,,,,,,4618.6,P4L,,N,,N,N,N,,,B(V),50,,,,,,,,,,,,,,AVN,2011-04-11,5366,5366,5366,5366,,,,,,,,,,30,307,,Y,NPI,G,031-35-02.6300N,113702.6253N,110-19-46.0300W,0397186.0296W,4614.8,51,3,,,,,,,4619.6,P4R,,N,,N,N,N,,,B(V),50,,,,,,,,,,,,,,AVN,2011-04-11,5366,5366,5366,5366,,,,,,,,,
00753.*A,IWA,AZ,12C/30C,10201,150,ASPH-CONC-G,,26 /R/D/W/T,HIGH,3RD PARTY SURVEY,2018-05-02,55,95,185,550,12C,136,,N,PIR,G,033-19-03.4100N,119943.4065N,111-39-57.3200W,0401997.3227W,1347.7,50,3,,,,,,,1358.5,P4L,,,,,,,,,C,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10201,10201,10201,10201,,,,,,,,,,30C,316,LOC/GS,,PIR,G,033-17-51.3400N,119871.3375N,111-38-33.1900W,0401913.1900W,1380.5,49,3,,,,,,,1380.5,P4L,,,,,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10201,10201,10201,10201,,,,,,,,,
